"id;";"tytuł;";"autor;"
"1;";"Władca pierścieni;";"J.R.R. Tolkien;"
"2;";"Buszujący w zbożu;";"Jerome David Salinger;"
"3;";"Harry Potter i Kamień Filozoficzny;";"J.K. Rowling;"
"4;";"Harry Potter i Komnata Tajemnic;";"J.K. Rowling;"
"5;";"Harry Potter i więzień Azkabanu;";"J.K. Rowling;"
"6;";"Harry Potter i Czara Ognia;";"J.K. Rowling;"
"7;";"Harry Potter i Zakon Feniksa;";"J.K. Rowling;"
"8;";"Harry Potter i Książę Półkrwi;";"J.K. Rowling;"
"9;";"Harry Potter i Insygnia Śmierci;";"J.K. Rowling;"
"10;";"Duma i uprzedzenie;";"Jane Austen;"
"11;";"Paragraf;";"Joseph Heller;"
"12;";"Wielki Gatsby;";"Fitzgerald Francis Scott;"
"13;";"Alicja w Krainie Czarów;";"Caroll Lewis;"
"14;";"Kubuś Puchatek  i  Chatka Puchatka;";"A.A. Milne;"
"15;";"Anna Karenina;";"Tołstoj Lew;"
"16;";"Sto lat samotności;";"Gabriel García Márquez;"
"17;";"Zabić drozda;";"Lee Harper;"
"18;";"Rok;";"Orwell George;"
"19;";"Jane Eyre;";"Charlotte Bronte;"
"20;";"Grona gniewu;";"John Steinbeck;"
"21;";"Folwark zwierzęcy;";"George Orwell;"
"22;";"Wichrowe wzgórza;";"Emily Bronte;"
"23;";"Autostopem przez galaktykę;";"Douglas Adams;"
"24;";"Opowieści z Narni;";"Lewis Clive Staples;"
"25;";"Małe kobietki;";"Alcott Louisa May;"
"26;";"Pajęczyna Szarloty;";"E.B. White;"
"27;";"Władca much;";"Wiliam Golding;"
"28;";"Tajemniczy Ogród;";"Frances Hodgson Burnett;"
"29;";"Mały książę;";"Antoine de Saint-Exupery;"
"30;";"Myszy i ludzie;";"John Steinbeck;"
"31;";"Miłość w czasach zarazy;";"Márquez Gabriel García;"
"32;";"Opowieść podręcznej;";"Margaret Atwood;"
"33;";"Rzeźnia numer pięć;";"Kurt Vonnegut;"
"34;";"Życie Pi;";"Yann Martel;"
"35;";"Pani Bovary;";"Gustav Flaubert;"
"36;";"Hamlet;";"William Szekspir;"
"37;";"Kolor Purpury;";"Alice Walker;"
"38;";"Opowieść wigilijna;";"Charles Dickens;"
"39;";"Ania z Zielonego Wzgórza;";"Lucy Maud Montgomery;"
"40;";"Wyznania Gejszy;";"Arthur Golden;"
"41;";"Drakula;";"Bram Stoker;"
"42;";"Nowy wspaniały świat;";"Huxley Aldous;"
"43;";"Zbrodnia i Kara;";"Fiodor Dostojewski;"
"44;";"Charlie i fabryka czekolady;";"Roald Dahl;"
"45;";"Modlitwa za Owena;";"John Irving;"
"46;";"Przygody Sherlocka Holmesa;";"Arthur Conan Doyle;"
"47;";"Mistrz i Małgorzata;";"Michaił Bułhakow;"
"48;";"Baśnie;";"H. CH. Andersen;"
"49;";"Lalka;";"Bolesław Prus;"
"50;";"Tamte brzegi;";"Vladimir Nabokov;"
"51;";"Hobbit;";"J.R.R. Tolkien;"
"52;";"Pokój pełen liści;";"Joan Aiken;"
"53;";"stopni Fahrenheita;";"Ray Bradbury;"
"54;";"Romeo i Julia;";"William Szekspir;"
"55;";"Zły;";"Leopold Tyrmand;"
"56;";"Przeminęło z wiatrem;";"Margaret Mitchell;"
"57;";"Opowiadania;";"Ernest Hemingway;"
"58;";"Lot nad kukułczym gniazdem  ; Ken Kesey";
"59;";Kompleks Portnoya  Philip Roth;
"60;";Kod Leonarda Da Vinci  Dan Brown;
"61;";Na wschód od Edenu  John Steinbeck;
"62;";"Dziennik Anny Frank  ; Anne Frank";
"63;";"Mężczyźni ; którzy nienawidzą kobiet  ; Stieg Larsson";
"64;";"Złodziejka książek  ; Markus Zusak";
"65;";"Chłopiec z latawcem  ; Khaled Hosseini";
"66;";"Cień Wiatru  ; Carlos Ruiz Zafon";
"67;";"Diuna  ; Herbert Frank";
"68;";"Igrzyska śmierci  ; Suzanne Collins";
"69;";Transatlantyk  Witold Gombrowicz;
"70;";Wielkie nadzieje  Charles Dickens;
"71;";"Z zimną krwią  ; Truman Capote";
"72;";"Rebeka  ; Daphne Du Maurier";
"73;";"Szklany klosz ;  Sylvia Plath";
"74;";"Dziennik Bridget Jones ;  Helen Fieldieng";
"75;";"Opowieść o dwóch miastach  ; Charles Dickens";
"76;";Biblia;
"77;";"Dawca  ; Lois Lowry";
"78;";O czym szumią wierzby  Kenneth Grahamme;
"79;";"Gwiazd naszych wina  ; John Green";
"80;";"Lolita  ; Vladimir Nabokov";
"81;";"David Coperfield  ; Charles Dickens";
"82;";Dzieci Północy  Rushdie Salman;
"83;";Pokuta  Ian McEwan;
"84;";Okruchy dnia  Kazuo Ishiguro;
"85;";"Powrót do Missing  ; Abraham Verghese";
"86;";"W drodze  ; John Kerouac";
"87;";"Jądro Ciemności  ; Joseph Conrad";
"88;";Tajemna historia  Donna Tartt;
"89;";Atlas chmur  David Mitchell;
"90;";Rozważna i romantyczna  Jane Austen;
"91;";"Nieśmiertelne życie Henrietty Lacks  ; Rebecca Skloot";
"92;";"Germinal  ; Emil Zola";
"93;";"Wodnikowe Wzgórze  ; Richard Adams";
"94;";"Droga  ; Cormac McCarthy";
"95;";"Rzeczy ; które nieśli  ; Tim O'Brien";
"96;";"Nędznicy  ; Victor Hugo";
"97;";"Trzej muszkieterowie  ; Alexander Dumas";
"98;";Kolej żelazna  Aharon Appelfeld;
"99;";Kulturowe sprzeczności kapitalizmu  Daniel Bell;
"100;";Zaburzenie  Thomas Bernhard;
"101;";"Szumy ; zlepy ; ciągi  ; Miron Białoszewski";
"102;";"Uwiedzeni  ; Anna Bolecka";
"103;";"Utracona cześć Katarzyny Blum  ; Heinrich Böll";
"104;";"Fikcje  ; J L  Borges";
"105;";"Pod osłoną nieba  ; Paul Bowles";
"106;";"Krótka historia prawie wszystkiego  ; Bill Bryson";
"107;";Śniadanie u Tiffany’ego  Truman Capote;
"108;";"Żegnaj ; laleczko  Raymond Chandler";
"109;";Hańba J M  Coetzee;
"110;";"Odlot malowanego ptaka  ; Henryk Dasko";
"111;";"Noce i dnie  ; Maria Dąbrowska";
"112;";Druga płeć  Simone De Beauvoir;
"113;";"Biesy  ; Fiodor Dostojewski";
"114;";"Idiota  ; Fiodor Dostojewski";
"115;";"Pożegnania  ; Stanisław Dygat";
"116;";"Wiersze  ; T S  Eliot";
"117;";"Encheiridion  ; Epiktet";
"118;";"Historia szaleństwa w dobie klasycyzmu  ; Michel Foucault";
"119;";Mag   John Fowles;
"120;";"Życie przed sobą   ;Romain Gary";
"121;";"Skowyt i inne wiersze  ; Allen Ginsberg";
"122;";"Martwe dusze  ; Mikołaj Gogol";
"123;";"Dziennik  ; Witold Gombrowicz";
"124;";"Sąsiedzi  ; Jan Tomasz Gross";
"125;";"Wierność w stereo  ; Nick Hornby";
"126;";"Świat według Garpa  ; John Irving";
"127;";"Sława i chwała  ; Jarosław Iwaszkiewicz";
"128;";"Cholonek ; czyli dobry pan Bóg z gliny  ; Janosh";
"129;";"Mój diabeł stróż  ; Anita Halina Janowska";
"130;";"Kometa nad Doliną Muminków  ; Tove Jansson";
"131;";"Na marmurowych skałach  ; Ernst Junger";
"132;";"Zamek  ; Franz Kafka";
"133;";"Szachinszach  ; Ryszard Kapuściński";
"134;";"Jak umierają nieśmiertelni  ; Krzysztof Kąkolewski";
"135;";"Sprawa osobista  ; Ōe Kenzaburō";
"136;";Kalendarz i klepsydra Tadeusz Konwicki;
"137;";"Pamiętnik i inne pisma z getta  ; Janusz Korczak";
"138;";"Nieznośna lekkość bytu  ; Milan Kundera";
"139;";"Solaris  ; Lem Stanisław";
"140;";"Piąte dziecko  ; Doris Lessing";
"141;";"Łaskawe  ; Jonathan Littell";
"142;";"Zew Cthulhu  ; Howard Phillips Lovecraft";
"143;";Mefisto  Klaus Mann;
"144;";Czarodziejska góra  Thomas Mann;
"145;";Ballady i Romanse  Adam Mickiewicz;
"146;";Wypisy z ksiąg użytecznych  Czesław Miłosz;
"147;";"Dziś wolałabym siebie nie spotkać  ; Herta Müller";
"148;";"Nagi sad  ; Wiesław Myśliwski";
"149;";"Traktat o łuskaniu fasoli  ; Wiesław Myśliwski";
"150;";"Medaliony  ; Zofia Nałkowska";
"151;";"Madame Frankenstein  ; Zyta Oryszyn";
"152;";"W poszukiwaniu straconego czasu  ; Marcel Proust";
"153;";"Ojciec chrzestny  ; Mario Puzo";
"154;";"Na Zachodzie bez zmian  ; Erich Maria Remarque";
"155;";Wiersze  Tadeusz Różewicz;
"156;";"Kinderszenen  ; Jarosław Marek Rymkiewicz";
"157;";"Mdłości  ; Jean Paul Sartre";
"158;";"Sklepy cynamonowe ; Bruno Schulz";
"159;";"Sanatorium pod Klepsydrą  ; Bruno Schulz";
"160;";"Pogoda dla bogaczy  ; Irwin Shaw";
"161;";"Białe zęby  ; Zadie Smith";
"162;";"Wybór Zofii  ; William Styron";
"163;";"Wiersze wybrane  ; Wisława Szymborska";
"164;";"Zimne kraje  ; Marcin Świetlicki";
"165;";"Dom dzienny ; dom nocny  ; Olga Tokarczuk";
"166;";"Oni  ; Teresa Torańska";
"167;";"Rodzinna historia lęku  ; Agata Tuszyńska";
"168;";Groch z kapustą  Julian Tuwim;
"169;";"Krystyna córka Lavransa  ; Sigrid Undset";
"170;";"Rozmowa w  Katedrze  ; Mario Vargas Llosa";
"171;";"Pantaleon i wizytantki  ; Mario Vargas Llosa";
"172;";"Pani Dalloway  ; Virginia Woolf";
"173;";"Własny pokój  ; Virginia Woolf";
"174;";"Pan Tadeusz   ; Adam Mickiewicz";
"175;";"Krótka historia Czasu  ; Stephen Hawking";
"176;";"Wstrząsające dzieło kulejącego geniusza  ; Dave Eggers";
"177;";"Było minęło: wspomnienia dziecka-żołnierza  ; Ishmael Beah";
"178;";"Przedwiośnie  ; Stefan Żeromski";
"179;";"Wszyscy ludzie prezydenta  ; Bob Woodward ; Carl Bernstein";
"180;";"Mroczne Materie  ; Philip Pullman";
"181;";"Teresa D'Uberville  ; Thomas Hardy";
"182;";"Birdsong  ; Sebastian Faulks";
"183;";"Przygody Hucka Finna  ; Mark Twain";
"184;";"Służące  ; Kathryn Stockett";
"185;";"Lęk i odraza w Las Vegas  ; Hunter S  Thompson";
"186;";"Proces  ; Franz Kafka";
"187;";"Miasteczko Middlemarch  ; George Eliot";
"188;";Zaginiona dziewczyna  Gillian Flynn;
"189;";"Strzelby, zarazki, maszyny: losy ludzkich społeczeństw; Jared Diamond";
"190;";"Samotnia  ; Charles Dickens";
"191;";"Wojna i Pokój  ; Lew Tołstoj";
"192;";"Noc  ; Elie Wiesel";
"193;";"Tłumacz chorób  ; Jhumpa Lahiri";
"194;";Niewidzialny człowiek  Ralph Ellison;
"195;";"Znowu w Brideshead  ; Evelyn Waugh";
"196;";"Jej wszystkie życia  ;  Kate Atkinson";
"197;";"Boska Komedia  ; Dante Aligeri";
"198;";"Emma  ; Jane Austen";
"199;";"Moneyball  Nieczysta gra   ; Michael Lewis";
"200;";"Perswazje  ; Jane Austen";
"201;";"Persepolis  ; Marjane Satrapi";
"202;";"Kapitan Corelli  ; Louis De Bernieres";
"203;";"Przygody Tomka Sawyera  ; Mark Twain";
"204;";"Makbet  ; William Szekspir";
"205;";"Krótki i niezwykły żywot Oscara Wao  ; Junot Díaz";
"206;";"Kobieta w bieli  ; Collins Wilkie";
"207;";"Frankenstein  ; Mary Shelley";
"208;";"Dzieci z Bullerbyn  ; Astrid Lindgren";
"209;";"Korekty  ; Jonathan Franzen";
"210;";"Z dala od zgiełku  ; Thomas Hardy";
"211;";"Hrabia Monte Christo  ; Alexandre Dumas";
"212;";"Drzewko na Brooklynie  ; Betty Smith";
"213;";"Powrót Sherlocka Holmesa  ; Arthur Conan Doyle";
"214;";"Cold Comfort Farm   ; Stella Gibbons";
"215;";"Bastion  ; Stephen King";
"216;";"Pretendent do ręki  ; Seth Vikram";
"217;";"Obca  ; Diana Gabaldon";
"218;";"Długie pożegnanie   ; Raymond Chandler";
"219;";"Kupa kultury  Przewodnik inteligenta  ; Leszek Bugajski";
"220;";"Gra Endera  ; Orson Scott Card";
"221;";"Dziwny przypadek psa nocną porą  ; Mark Haddon";
"222;";"Mężczyzna ; który pomylił swoją żonę z kapeluszem  Oliver Sacks";
"223;";"W obronie jedzenia  Manifest wszystkożerców  ; Michael Pollan";
"224;";"Ptasiek  ; William Wharton";
"225;";"Gra o tron  ; George R R  Martin";
"226;";"S-kadra  ; Tom Wolfe";
"227;";"Nostalgia Anioła  ; Alice Sebolt";
"228;";"Stary człowiek i morze  ; Ernest Hemingway";
"229;";"Moby Dick  ; Herman Melville";
"230;";"Juda nieznany  ; Thomas Hardy";
"231;";"Lord Jim  ; Joseph Conrad";
"232;";Bardzo głodna gąsienica  Eric Carle;
"233;";"Dżuma  ; Albert Camus";
"234;";"Szkarłatna litera  ; Nathaniel Hawthorne";
"235;";"Oliver Twist   ; Charles Dickens";
"236;";"Filary Ziemi  ; Ken Follett";
"237;";"Pięć osób ; które spotykamy w niebie  ; Mitch Albom";
"238;";"Łuk Triumfalny  ; Erich Maria Remarque";
"239;";"Zapiski z małej wyspy  ; Bryson Bill";
"240;";"Kronika ptaka nakręcacza  ; Haruki Murakami";
"241;";"Ulisses  ; James Joyce";
"242;";"Narzeczona dla księcia  ; William Goldman";
"243;";"Jaskółki i Amazonki  ; Arthur Ransome";
"244;";"Woda dla słoni  ; Sara Gruen";
"245;";"Kruk  ; Edgar Allan Poe";
"246;";"Dolina lalek  ; Jacqueline Susann";
"247;";"Targowisko próżności  ;William Makepeace Thackeray";
"248;";"Sekretne życie pszczół  ; Sue Monk Kidd";
"249;";"Opętanie  ;A S  Byatt";
"250;";"Zaklęci w czasie  ; Audrey Niffenegger";
"251;";"Gdy była porządną dziewczyną  ; Philip Roth";
"252;";"Odyseja  ; Homer";
"253;";"Łaskawa ziemia  ; Pearl S  Buck";
"254;";"I nie było już nikogo  ; Agatha Christie";
"255;";"Chłopi  ; Władysław Reymont";
"256;";"Ptaki ciernistych krzewów  ; Colleen McCullough";
"257;";"Szklany zamek  ; Jeannette Walls";
"258;";"Fabryka os  ; Iain Banks";
"259;";"Siddhartha  ; Hermann Hesse";
"260;";"Sprzysiężenie głupców  ; John Kennedy Toole";
"261;";"Umiłowana  ; Toni Morrison";
"262;";"Miasteczko jak Alece Springs  ; Nevil Shute";
"263;";"Niezwykła rogatka  ; Norton Juster";
"264;";"Bracia Karamazow  ; Fiodor Dostojewski";
"265;";"Historia mego życia  ; Helen Keller";
